Index,Section_Index,Total_Word_Count
0,0,72
1,1,2190
2,2,529
3,3,788
4,4,149
5,5,108
6,6,142
7,7,4
8,8,4
9,9,3
10,10,1807
11,11,23
12,12,58
13,13,17
14,14,730
15,15,4
16,16,14
17,17,72
18,18,4
19,19,52
20,20,72
21,21,19
22,22,51
23,23,90
24,24,113
25,25,127
26,26,22
27,27,77
28,28,27
29,29,227
30,30,13
31,31,429
32,32,41
33,33,71
34,34,4
35,35,102
36,36,69
37,37,29
38,38,187
39,39,164
40,40,106
41,41,40
42,42,2
43,43,16
44,44,47
45,45,55
46,46,34
47,47,65
48,48,82
49,49,53
50,50,10
51,51,36
52,52,242
53,53,3
54,54,4
55,55,49
56,56,96
57,57,7
58,58,27
59,59,18
60,60,18
61,61,18
62,62,24
63,63,14
64,64,34
65,65,6
66,66,4
67,67,468
68,68,12
69,69,34
70,70,52
71,71,69
72,72,26
73,73,36
74,74,37
75,75,2
76,76,12
77,77,21
78,78,82
79,79,66
80,80,32
81,81,2
82,82,81
83,83,128
84,84,41
85,85,3
86,86,56
87,87,16
88,88,8
89,89,40
90,90,27
91,91,6
92,92,50
93,93,6
94,94,1053
95,95,287
96,96,54
97,97,6
98,98,27
99,99,51
100,100,46
101,101,194
102,102,110
103,103,34
104,104,24
105,105,29
106,106,28
107,107,79
108,108,13
109,109,53
110,110,6
111,111,261
112,112,145
113,113,89
114,114,10
115,115,11
116,116,11
117,117,39
118,118,55
119,119,27
120,120,14
121,121,86
122,122,22
123,123,25
124,124,78
125,125,35
126,126,221
127,127,13
128,128,4
129,129,237
130,130,164
131,131,653
132,132,225
133,133,36
134,134,1901
135,135,381
136,136,172
137,137,127
138,138,1389
139,139,414
140,140,422
141,141,289
142,142,181
143,143,79
144,144,104
145,145,130
146,146,187
147,147,122
148,148,232
149,149,76
150,150,129
151,151,128
152,152,46
153,153,88
154,154,314
155,155,484
156,156,2
157,157,40
158,158,74
159,159,5
160,160,43
161,161,73
162,162,31
163,163,19
164,164,110
165,165,12
166,166,168
167,167,100
168,168,25
169,169,15
170,170,13
171,171,5
172,172,56
173,173,106
174,174,11
175,175,19
176,176,147
177,177,13
178,178,15
179,179,12
180,180,272
181,181,194
182,182,139
183,183,8
184,184,172
